"m","p","alpha0","alpha1","rho0","rho1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,22,0.0512,0,0.823564712942588,0.000199999999999978,0.827964310009498
20,4,0.015,0.01,0.3,0.15,22,0.0522,0,0.8206,0,0.827964310009498
20,4,0.015,0.01,0.5,0.3,22,0.0538,0,0.8206,0,0.827964310009498
20,4,0.1,0.05,0.15,0.1,60,0.0518,0,0.7978,0,0.800892709288423
20,4,0.1,0.05,0.3,0.15,60,0.0526,0,0.7966,0,0.800892709288423
20,4,0.1,0.05,0.5,0.3,60,0.0534,0,0.7962,0,0.800892709288423
20,8,0.015,0.01,0.15,0.1,16,0.0484,0,0.8198,0,0.818738694858801
20,8,0.015,0.01,0.3,0.15,16,0.0484,0,0.818,0,0.818738694858801
20,8,0.015,0.01,0.5,0.3,16,0.0508,0,0.8138,0,0.818738694858801
20,8,0.1,0.05,0.15,0.1,52,0.0484,0,0.8148,0,0.811359276390761
20,8,0.1,0.05,0.3,0.15,52,0.048,0,0.815,0,0.811359276390761
20,8,0.1,0.05,0.5,0.3,52,0.049,0,0.8134,0,0.811359276390761
50,4,0.015,0.01,0.15,0.1,16,0.051,0,0.8392,0,0.832377537432317
50,4,0.015,0.01,0.3,0.15,16,0.0526,0,0.84,0,0.832377537432317
50,4,0.015,0.01,0.5,0.3,16,0.0548,0,0.8366,0,0.832377537432317
50,4,0.1,0.05,0.15,0.1,56,0.0501611603545528,0.00719999999999998,0.812122432541281,0.00680000000000003,0.810387923640526
50,4,0.1,0.05,0.3,0.15,56,0.0504827031375704,0.00560000000000005,0.814196661974663,0.00539999999999996,0.810387923640526
50,4,0.1,0.05,0.5,0.3,56,0.0503626107977438,0.00719999999999998,0.813405797101449,0.00639999999999996,0.810387923640526
50,8,0.015,0.01,0.15,0.1,14,0.0536,0,0.8512,0,0.850898040228014
50,8,0.015,0.01,0.3,0.15,14,0.0558,0,0.8504,0,0.850898040228014
50,8,0.015,0.01,0.5,0.3,14,0.0588,0,0.8416,0,0.850898040228014
50,8,0.1,0.05,0.15,0.1,48,0.0509844559585492,0.035,0.805469235550031,0.0346,0.800729780530253
50,8,0.1,0.05,0.3,0.15,48,0.0516919244342952,0.0366,0.802325581395349,0.0368000000000001,0.800729780530253
50,8,0.1,0.05,0.5,0.3,48,0.0538685524126456,0.0384,0.802410139206316,0.0374,0.800729780530253
