"m","p","alpha0","alpha1","rho0","rho1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,40,0.047,0,0.8084,0,0.813245045033653
20,4,0.015,0.01,0.3,0.15,40,0.0476,0,0.8104,0,0.813245045033653
20,4,0.015,0.01,0.5,0.3,40,0.0484,0,0.8056,0,0.813245045033653
20,4,0.1,0.05,0.15,0.1,36,0.0498,0,0.8012,0,0.807429578813821
20,4,0.1,0.05,0.3,0.15,36,0.0498,0,0.7984,0,0.807429578813821
20,4,0.1,0.05,0.5,0.3,36,0.0484,0,0.7976,0,0.807429578813821
20,8,0.015,0.01,0.15,0.1,20,0.05,0,0.8056,0,0.813245045033653
20,8,0.015,0.01,0.3,0.15,20,0.048,0,0.798,0,0.813245045033653
20,8,0.015,0.01,0.5,0.3,20,0.0484,0,0.7916,0,0.813245045033653
20,8,0.1,0.05,0.15,0.1,18,0.0526,0,0.792,0,0.807429578813821
20,8,0.1,0.05,0.3,0.15,18,0.0516,0,0.797,0,0.807429578813821
20,8,0.1,0.05,0.5,0.3,18,0.0512,0,0.799,0,0.807429578813821
50,4,0.015,0.01,0.15,0.1,16,0.0532,0,0.8166,0,0.813245045033653
50,4,0.015,0.01,0.3,0.15,16,0.054,0,0.809,0,0.813245045033653
50,4,0.015,0.01,0.5,0.3,16,0.0516,0,0.7978,0,0.813245045033653
50,4,0.1,0.05,0.15,0.1,16,0.0536,0,0.8438,0,0.84648172104949
50,4,0.1,0.05,0.3,0.15,16,0.0528,0,0.8398,0,0.84648172104949
50,4,0.1,0.05,0.5,0.3,16,0.052,0,0.8274,0,0.84648172104949
50,8,0.015,0.01,0.15,0.1,8,0.0598,0,0.798359671934387,0.000199999999999978,0.813245045033653
50,8,0.015,0.01,0.3,0.15,8,0.0602,0,0.7934,0,0.813245045033653
50,8,0.015,0.01,0.5,0.3,8,0.0574,0,0.7802,0,0.813245045033653
50,8,0.1,0.05,0.15,0.1,8,0.06,0,0.8282,0,0.84648172104949
50,8,0.1,0.05,0.3,0.15,8,0.0598,0,0.822,0,0.84648172104949
50,8,0.1,0.05,0.5,0.3,8,0.0586,0,0.8116,0,0.84648172104949
