"m","p","alpha0","alpha1","rho0","rho1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,40,0.0512,0,0.8018,0,0.806349856567876
20,4,0.015,0.01,0.3,0.15,40,0.0508,0,0.7922,0,0.801105674086973
20,4,0.015,0.01,0.5,0.3,42,0.0504,0,0.7982,0,0.8129362827532
20,4,0.1,0.05,0.15,0.1,40,0.05,0,0.8008,0,0.806863158258425
20,4,0.1,0.05,0.3,0.15,44,0.0492,0,0.805,0,0.810016743135107
20,4,0.1,0.05,0.5,0.3,50,0.0504,0,0.7964,0,0.809400811618362
20,8,0.015,0.01,0.15,0.1,20,0.0506,0,0.7944,0,0.806349856567876
20,8,0.015,0.01,0.3,0.15,20,0.0524,0,0.7846,0,0.801105674086973
20,8,0.015,0.01,0.5,0.3,22,0.0516,0,0.8112,0,0.830415076955813
20,8,0.1,0.05,0.15,0.1,20,0.0548,0,0.7966,0,0.806863158258425
20,8,0.1,0.05,0.3,0.15,22,0.0486,0,0.8036,0,0.810016743135107
20,8,0.1,0.05,0.5,0.3,26,0.0568454763811049,0.000800000000000023,0.814451561248999,0.000800000000000023,0.824292303498566
50,4,0.015,0.01,0.15,0.1,18,0.054,0,0.8438,0,0.844053980999478
50,4,0.015,0.01,0.3,0.15,18,0.0542,0,0.8214,0,0.832764625708091
50,4,0.015,0.01,0.5,0.3,18,0.0542,0,0.7932,0,0.816606958822247
50,4,0.1,0.05,0.15,0.1,18,0.0498,0,0.8422,0,0.841780428338876
50,4,0.1,0.05,0.3,0.15,20,0.0542216886754702,0.000399999999999956,0.822364472894579,0.000199999999999978,0.832313486882126
50,4,0.1,0.05,0.5,0.3,24,0.0472,0,0.8214,0,0.822981525873207
50,8,0.015,0.01,0.15,0.1,10,0.057,0,0.8708,0,0.879397661816333
50,8,0.015,0.01,0.3,0.15,10,0.0554,0,0.8534,0,0.86936079397
50,8,0.015,0.01,0.5,0.3,10,0.0558,0,0.8262,0,0.85482369107466
50,8,0.1,0.05,0.15,0.1,10,0.0506709393150411,0.00139999999999996,0.872446936323588,0.00119999999999998,0.877384638941426
50,8,0.1,0.05,0.3,0.15,10,0.0552663195835002,0.00119999999999998,0.821950731023433,0.00139999999999996,0.832313486882126
50,8,0.1,0.05,0.5,0.3,12,0.0500300180108065,0.000600000000000045,0.816089653792275,0.000600000000000045,0.822981525873207
