"m","p","alpha0","alpha1","rho0","rho1","unadjusted_alpha0","unadjusted_alpha1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,32,0.0542,0,0.816,0,0.815768503458959
20,4,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,38,0.052,0,0.8134,0,0.812257438734338
20,4,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,52,0.0434,0,0.8182,0,0.814221566252745
20,4,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,72,0.047,0,0.8064,0,0.810538813815067
20,4,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,78,0.0516,0,0.8126,0,0.809214890169556
20,4,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,90,0.0498,0,0.8006,0,0.801978505054637
20,8,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,26,0.0514,0,0.8258,0,0.824032232539394
20,8,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,30,0.0484,0,0.7958,0,0.804821730031248
20,8,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,44,0.0534,0,0.8208,0,0.813688386686016
20,8,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,60,0.0462,0,0.8006,0,0.80100674917709
20,8,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,66,0.0528316990194116,0.000600000000000045,0.802681608965379,0.000600000000000045,0.806266306597186
20,8,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,78,0.0510510510510511,0.001,0.797397397397397,0.001,0.80053349729538
50,4,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,26,0.0524,0,0.8294,0,0.824750328466955
50,4,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,32,0.0482,0,0.8186,0,0.817593390738074
50,4,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,46,0.0498,0,0.8166,0,0.817086704562831
50,4,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,66,0.0512716174974568,0.017,0.814814814814815,0.0172,0.810449534734624
50,4,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,72,0.0410478547854785,0.0304,0.816212871287129,0.0304,0.808495297058789
50,4,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,84,0.0492898913951546,0.0424,0.79933110367893,0.0432,0.800246633420233
50,8,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,22,0.0474,0,0.814,0,0.811710961691465
50,8,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,28,0.0542542542542543,0.001,0.815815815815816,0.001,0.82208960731361
50,8,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,40,0.0480096019203841,0.000199999999999978,0.803281969181509,0.000600000000000045,0.805229103949042
50,8,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,58,0.0506435956952944,0.0522,0.80337552742616,0.052,0.807451363801262
50,8,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,64,0.0536637931034483,0.072,0.807119741100324,0.073,0.811981857625502
50,8,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,76,0.0523903077930583,0.0838,0.814830970556161,0.083,0.804815780295584
